,0,1,2,3,4,5,6,7,8,9,10,11,12,13
121,-1,-1,-1,-1,-1,-1,93.41,4.68,-1,-1,1.42,-1,-1,-1
122,8.95,-1,-1,-1,-1,-1,59.75,-1,-1,-1,-1,8.43,-1,185.01
123,9.87,-1,-1,-1,-1,-1,58.4,-1,-1,-1,1.63,-1,-1,2.72
124,-1,-1,-1,-1,-1,-1,81.15,-1,19.85,-1,-1,-1,-1,9.43
125,-1,-1,-1,-1,-1,-1,13.16,-1,-1,-1,1.41,-1,-1,-1
126,-1,-1,-1,-1,-1,-1,67.95,2.11,-1,1.0,-1,-1,-1,68.09
127,-1,-1,-1,46.0,-1,-1,82.84,4.76,-1,-1,1.07,-1,-1,166.89
128,-1,-1,-1,-1,-1,-1,37.95,4.96,-1,-1,-1,-1,-1,96.79
129,8.08,-1,2500.71,-1,-1,-1,88.58,-1,-1,-1,-1,8.27,-1,-1
130,-1,-1,-1,41.0,-1,-1,16.82,4.83,153.43,-1,1.17,-1,-1,-1
131,-1,-1,-1,-1,-1,-1,6.41,3.95,-1,-1,1.82,-1,-1,102.92
132,-1,-1,-1,-1,-1,-1,74.82,2.27,182.5,-1,-1,-1,-1,93.51
133,-1,-1,-1,-1,-1,-1,82.13,2.77,-1,-1,1.18,-1,-1,16.2
134,8.47,-1,-1,-1,-1,-1,71.37,4.03,171.09,-1,-1,9.41,-1,150.14
135,-1,-1,2571.67,-1,-1,-1,94.86,3.59,-1,-1,1.27,-1,-1,135.76
136,-1,-1,-1,-1,-1,-1,81.12,-1,197.4,-1,1.39,-1,-1,19.29
137,8.23,-1,2504.3,-1,-1,-1,53.6,3.75,-1,-1,1.23,-1,-1,82.05
138,-1,-1,2753.49,-1,-1,-1,98.48,4.66,-1,-1,1.55,-1,-1,-1
139,-1,-1,-1,-1,-1,-1,82.68,2.23,-1,1.0,1.9,9.3,-1,139.07
140,8.71,-1,-1,-1,-1,-1,-1,3.14,-1,-1,-1,-1,-1,91.92
141,-1,-1,-1,4.0,-1,-1,90.83,-1,187.69,-1,1.82,-1,-1,160.65
142,-1,-1,2936.29,-1,-1,-1,30.38,2.2,-1,-1,-1,-1,-1,16.52
143,-1,-1,-1,40.0,-1,-1,30.3,4.08,-1,-1,-1,-1,-1,-1
144,8.5,-1,-1,-1,-1,-1,38.28,-1,-1,-1,1.34,-1,-1,122.28
145,-1,-1,-1,-1,-1,-1,81.17,-1,-1,-1,1.93,-1,-1,-1
146,-1,-1,-1,47.0,-1,-1,89.34,4.01,188.87,-1,1.28,-1,-1,191.59
147,-1,-1,-1,-1,-1,-1,91.22,4.82,159.12,-1,2.0,-1,-1,76.27
148,8.23,-1,-1,-1,-1,-1,52.25,-1,162.1,-1,-1,8.11,-1,-1
149,-1,-1,-1,-1,-1,-1,9.48,2.76,-1,-1,-1,-1,-1,-1
150,9.31,-1,2574.79,4.0,-1,-1,93.2,2.2,-1,-1,1.61,-1,-1,-1
151,-1,-1,2667.25,-1,-1,-1,97.12,-1,-1,-1,-1,-1,-1,181.5
152,-1,-1,-1,50.0,-1,-1,42.12,4.98,-1,-1,-1,8.29,-1,123.16
153,-1,-1,-1,-1,-1,-1,32.75,-1,-1,-1,-1,-1,-1,124.08
154,-1,-1,-1,-1,-1,-1,46.43,3.71,-1,-1,-1,-1,-1,77.65
155,-1,-1,-1,-1,-1,-1,50.01,-1,-1,-1,-1,-1,-1,117.58
156,8.95,-1,-1,-1,-1,-1,53.61,3.42,187.74,-1,-1,-1,-1,156.55
157,-1,-1,2748.28,45.0,-1,-1,20.97,3.59,184.39,-1,1.55,-1,-1,103.41
158,-1,-1,2685.96,-1,-1,-1,-1,-1,189.98,-1,1.31,-1,-1,-1
159,9.54,-1,-1,-1,-1,-1,29.41,4.09,-1,-1,-1,-1,-1,163.5
160,-1,-1,-1,-1,-1,-1,62.32,-1,166.83,-1,1.4,-1,-1,-1
161,8.77,-1,-1,-1,-1,-1,54.51,4.42,-1,-1,1.45,8.04,-1,-1
162,-1,-1,2689.95,-1,-1,-1,53.41,-1,-1,-1,-1,-1,-1,94.15
163,-1,-1,2656.26,-1,-1,-1,15.12,-1,15.25,-1,1.76,-1,-1,65.43
164,-1,-1,-1,-1,-1,-1,63.78,-1,12.91,-1,1.44,-1,-1,105.06
165,-1,-1,2777.62,-1,-1,-1,19.49,4.01,-1,-1,1.68,-1,-1,79.9
166,-1,-1,-1,-1,-1,-1,60.07,4.81,-1,-1,1.0,-1,-1,193.11
167,-1,-1,-1,-1,-1,-1,81.35,4.17,-1,-1,-1,-1,-1,161.89
168,-1,-1,-1,-1,-1,-1,-1,4.76,18.21,-1,-1,-1,-1,161.61
169,-1,-1,-1,46.0,-1,-1,37.34,4.58,-1,-1,1.04,8.7,-1,73.02
170,8.02,-1,-1,-1,-1,-1,22.13,3.95,-1,-1,1.47,-1,-1,193.08
171,-1,-1,-1,-1,-1,-1,22.68,4.38,-1,-1,1.17,9.8,-1,122.83
172,-1,-1,-1,50.0,-1,-1,37.42,3.87,-1,-1,1.78,-1,-1,150.98
173,-1,-1,2748.16,-1,-1,-1,11.9,-1,-1,-1,1.63,-1,-1,79.75
174,9.74,-1,-1,40.0,-1,-1,94.18,-1,190.52,-1,1.86,-1,-1,182.57
175,-1,-1,-1,-1,-1,-1,15.08,4.1,-1,-1,1.72,8.11,-1,115.86
176,-1,-1,-1,-1,-1,-1,99.37,3.57,19.07,-1,-1,-1,-1,119.1
177,-1,-1,-1,-1,-1,-1,34.15,-1,-1,-1,-1,-1,-1,80.46
178,-1,-1,-1,-1,-1,-1,90.38,-1,165.07,-1,1.66,8.15,-1,-1
